Category,Name,Compound,Ion,MZ
<100da,water,water,,18.0106
<100da,dimethyl formamide + H,dimethyl formamide,M + H,74.0606
<100da,diethyl amine + H,diethyl amine,M + H,74.097
<100da,DMSO + H,DMSO,M + H,79.0218
<100da,DMSO-d6 + H,DMSO+d6,M + H,85.0594
<100da,Sodium ion,as in adduct list,M+Na,22.98922
<100da,Potassium ion,as in adduct list,M+K,38.963707
<100da,Ammonium ion,as in adduct list,M+NH4+,18.03382
>100da,triethylamine (TEA) + H,triethylamine,M + H,102.128274
>100da,2ACN + Na,ACN,2M + Na,105.042867
>100da,"tris, tris(hydroxymethyl)aminomethane + H","tris, tris(hydroxymethyl)aminomethane",M + H,122.081718
>100da,dimethylaminopyridine (DMAP) + H,dimethylaminopyridine (DMAP),M + H,123.092223
>100da,diisopropylethyl amine (DIPEA) + H,diisopropylethyl amine (DIPEA),M + H,130.159575
>100da,tripropylamine (TPA) + H,tripropylamine (TPA),M + H,144.175225
>100da,phthalic anhydride + H,phthalic anhydride,M + H,149.023869
>100da,phenyldiethylamine + H,phenyldiethylamine,M + H,150.128274
>100da,NaTFA + Na,NaTFA (sodium trifluoroacetate),M + Na,158.964577
>100da,phthalic anhydride + Na,phthalic anhydride,M + Na,171.005813
>100da,tributylamine + H,tributylamine,M + H,186.222175
>100da,dimethyl phthalate + H,dimethyl phthalate,M + H,195.065734
>100da,n-butyl benzenesulfonamide (plastisizer) + H,n-butyl benzenesulfonamide (plastisizer),M + H,214.090175
>100da,n-butyl benzenesulfonamide (plastisizer) + NH4+,n-butyl benzenesulfonamide (plastisizer),M + NH4,231.1167
>100da,n-butyl benzenesulfonamide (plastisizer) + Na,n-butyl benzenesulfonamide (plastisizer),M + Na,236.072119
>100da,triethylamine dimer,triethylamine,"(M+H)2 , Cl(35)+",239.22485
>100da,triethylamine dimer,triethylamine,"(M+H)2 , Cl(37)+",241.2219
>100da,tetrabutylammonium ion,tetrabutylammonium (C4H9)4N+,M+,242.284775
>100da,trityl cation,trityl cation,M+,243.116821
>100da,tributylphosphate + H (extractant and plasticizer),tributylphosphate,M + H,267.172521
>100da,n-butyl benzenesulfonamide (plastisizer) + Na + methanol (MeOH),n-butyl benzenesulfonamide (plastisizer),M + Na + methanol,268.098334
>100da,monomethoxytrityl cation (MMT),monomethoxytrityl cation (MMT),M+,273.12739
>100da,triphenylphosphine oxide + H,triphenylphosphine oxide,M + H,279.093877
>100da,"dibutylphthalate + H (plasticizer, additive to solvents/inks)",dibutylphthalate,M + H,279.159634
>100da,dibutylphthalate + Na (plasticizer),dibutylphthalate,M + Na,301.141578
>100da,dibutylphthalate + K (plasticizer),dibutylphthalate,M + K,317.115516
>100da,tributyl tin formate + H (plasticiser),[C4H9]3SnCOO +,M + H,337.11895
>100da,erucamide + H (slip agent in polyethylene film),erucamide,M + H,338.34229
>100da,erucamide + Na (slip agent in polyethylene film),erucamide,M + Na,360.324234
>100da,decamethylcyclopentasiloxane + H (common chemical),decamethylcyclopentasiloxane,M + H,371.101782
>100da,diisooctyl phthalate (plasticizer) + H,diisooctyl phthalate (plasticizer),M + H,391.284835
>100da,diisooctyl phthalate (plasticizer) + Na,diisooctyl phthalate (plasticizer),M + Na,413.266779
>100da,diisooctyl phthalate (plasticizer) + K,diisooctyl phthalate (plasticizer),M + K,429.240717
>100da,dodecamethylcyclohexasiloxane + H,dodecamethylcyclohexasiloxane,M + H,445.120573
>100da,diisooctyl phthalate (plasticizer) + Na + ACN,diisooctyl phthalate (plasticizer),M + ACN + Na,454.293328
>100da,tetradecamethylcycloheptasiloxane + H,tetradecamethylcycloheptasiloxane,M + H,519.139364
>100da,hexadecamethylcyclooctasiloxane + H,hexadecamethylcyclooctasiloxane,M + H,593.158156
>100da,octadecamethylcyclonanosiloxane + H,octadecamethylcyclonanosiloxane,M + H,667.176947
>100da,eicosamethylcyclodecasiloxane + H,eicosamethylcyclodecasiloxane,M + H,741.195738
>100da,2diisooctyl phthalate (plasticizer) + NH4,diisooctyl phthalate (plasticizer),2M + NH4,798.588394
>100da,2diisooctyl phthalate (plasticizer) + Na,diisooctyl phthalate (plasticizer),2M + Na,803.543789
>100da,2diisooctyl phthalate (plasticizer) + K,diisooctyl phthalate (plasticizer),2M + K,819.517727
>100da,ACN + Cu-63,ACN,M + Cu-63,103.956146
>100da,ACN + Cu-65,ACN,M + Cu-65,105.954338
>100da,ACN + dimethyl formamide + H,ACN,M + dimethyl formamide + H,115.087138
>100da,2ACN + Cu-63,ACN,2M + Cu-63,144.982695
>100da,3ACN + Na,ACN,3M + Na,146.069416
>100da,2ACN + Cu-65,ACN,2M + Cu-65,146.980887
>100da,DMSO + Na,DMSO,M + Na,101.003705
>100da,ACN + DMSO + H,DMSO,M + ACN + H,120.04831
>100da,DMSO + ACN + NH4,DMSO,M + ACN + NH4,137.074859
>100da,2DMSO + H,DMSO,2M + H,157.035697
>100da,2DMSO-d6 + H,DMSO+d6,2M + H,169.111017
>100da,2DMSO + Na,DMSO,2M + Na,179.017641
>100da,3DMSO + Na,DMSO,3M + Na,257.031577
>100da,"1,8-diazabicyclo[5.4.0]undec-7-ene + H","1,8-diazabicyclo[5.4.0]undec-7-ene (DBU)",M + H,153.139174
>100da,dicyclohexyl urea (DCU) + H,dicyclohexyl urea (DCU),M + H,225.196688
>100da,"n,n-bis(2-hydroxyethyl) dodecanamide + H","n,n-bis(2-hydroxyethyl) dodecanamide",M + H,288.253869
>100da,2dicyclohexyl urea (DCU) + H,dicyclohexyl urea (DCU),2M + H,449.385551
>100da,214 + NH3,unknown,,231.026549
>100da,231 + ACN,unknown,,272.026549
