Type,MZ,MZCutOff
fragment,237.4042,400
fragment,255.233,400
fragment,261.4229,400
fragment,263.4388,400
fragment,265.4546,400
fragment,279.233,400
fragment,281.2486,400
fragment,283.2643,400
fragment,285.4444,400
fragment,303.233,400
fragment,309.4659,400
fragment,311.4187,400
fragment,327.233,400
fragment,329.2486,400
neutral loss,18.0153,400
neutral loss,44.0095,400
neutral loss,62.0248,400
neutral loss,78.9591,400
neutral loss,87.0321,400
neutral loss,96.9696,400
neutral loss,152.9958,400
neutral loss,238.4094,400
neutral loss,241.1128,400
neutral loss,256.2402,400
neutral loss,262.4308,400
neutral loss,264.4467,400
neutral loss,266.4626,400
neutral loss,280.2402,400
neutral loss,282.2559,400
neutral loss,284.2715,400
neutral loss,286.4523,400
neutral loss,304.2402,400
neutral loss,310.4738,400
neutral loss,312.4896,400
neutral loss,326.4948,400
neutral loss,328.2402,400
neutral loss,330.2559,400
neutral loss,344.3256,400
neutral loss,350.5162,400
neutral loss,352.5321,400
neutral loss,354.548,400
neutral loss,368.3256,400
neutral loss,370.3413,400
neutral loss,372.3569,400
neutral loss,374.5377,400
neutral loss,392.3256,400
neutral loss,398.5592,400
neutral loss,400.575,400
neutral loss,416.3256,400
neutral loss,418.3413,400
