Type,MZ,MZCutOff
neutral loss,18.0153,400
neutral loss,35.0458,400
neutral loss,44.0095,400
neutral loss,62.0248,400
neutral loss,87.0321,400
neutral loss,97.9952,400
neutral loss,141.0631,400
neutral loss,172.0739,400
neutral loss,185.0727,400
neutral loss,238.4094,400
neutral loss,256.2402,400
neutral loss,260.136,400
neutral loss,262.4308,400
neutral loss,264.4467,400
neutral loss,266.4626,400
neutral loss,273.4552,400
neutral loss,280.2402,400
neutral loss,282.2559,400
neutral loss,284.2715,400
neutral loss,286.4523,400
neutral loss,297.4767,400
neutral loss,299.4926,400
neutral loss,301.5084,400
neutral loss,304.2402,400
neutral loss,310.4738,400
neutral loss,312.4896,400
neutral loss,321.4981,400
neutral loss,328.2402,400
neutral loss,330.2559,400
neutral loss,345.5196,400
neutral loss,347.5355,400
