Neutral mass,MZ,Adduct,Mass defect,Formula,HMDB_ID/RefMet name,Origin
57.97514,56.96787,M-H,0.96787,CNS,HMDB01453,Endogenous
59.98474,58.97747,M-H,0.97747,CO3,HMDB31453,Endogenous
60.99257,59.98529,M-H,0.98529,CHO3,HMDB00595,Endogenous
61.98782,60.98054,M-H,0.98054,NO3,HMDB02179,Endogenous
61.98782,60.98054,M-H,0.98054,NO3,HMDB02878,Endogenous
66.95868,65.95141,M-H,0.95141,ClO2,HMDB02077,Endogenous
74.97788,73.97061,M-H,0.97061,CHNOS,HMDB12974,Endogenous
78.95851,77.95123,M-H,0.95123,O3P,HMDB01443,Endogenous
79.95681,78.94954,M-H,0.94954,O3S,HMDB00240,Endogenous
80.96464,79.95736,M-H,0.95736,HO3S,HMDB01033,Endogenous
81.93217,80.9249,M-H,0.9249,H2Se,HMDB11110,Endogenous
82.9536,81.94632,M-H,0.94632,ClO3,HMDB02036,Endogenous
83.95336,82.94608,M-H,0.94608,CH2Cl2,HMDB31548,Endogenous
91.98062,90.97335,M-H,0.97335,CH2NO2S,HMDB12916,Endogenous
93.94181,92.93454,M-H,0.93454,CH3Br,HMDB31524,Endogenous
93.98216,92.97488,M-H,0.97488,C2H3ClO2,HMDB31331,Endogenous
93.99109,92.98381,M-H,0.98381,C2H6S2,HMDB05879,Endogenous
93.99109,92.98381,M-H,0.98381,C2H6S2,HMDB31707,Endogenous
93.99109,92.98381,M-H,0.98381,C2H6S2,HMDB32253,Endogenous
93.99109,92.98381,M-H,0.98381,C2H6S2,HMDB32428,Endogenous
95.95173,94.94445,M-H,0.94445,O4S,HMDB01448,Endogenous
95.96125,94.95397,M-H,0.95397,HO4P,HMDB00973,Endogenous
95.98789,94.98061,M-H,0.98061,H4O4Si,HMDB31436,Endogenous
97.96901,96.96173,M-H,0.96173,C2H4Cl2,HMDB29571,Endogenous
97.9769,96.96962,M-H,0.96962,H3O4P,HMDB02142,Endogenous
111.92889,110.92161,M-H,0.92161,O3S2,HMDB00257,Endogenous
115.97544,114.96816,M-H,0.96816,C4H4S2,HMDB29720,Endogenous
117.91438,116.90711,M-H,0.90711,CHCl3,HMDB29596,Endogenous
117.99022,116.98295,M-H,0.98295,C3H2O5,HMDB31522,Endogenous
118.91771,117.91043,M-H,0.91043,MnO4,HMDB01417,Endogenous
