Neutral mass,MZ,Adduct,Mass defect,Formula,HMDB_ID/RefMet name,Origin
57.97514,58.98242,M+H,0.98242,CNS,HMDB01453,Endogenous
59.98474,60.99202,M+H,0.99202,CO3,HMDB31453,Endogenous
60.99257,61.99985,M+H,0.99985,CHO3,HMDB00595,Endogenous
61.98782,62.99509,M+H,0.99509,NO3,HMDB02179,Endogenous
61.98782,62.99509,M+H,0.99509,NO3,HMDB02878,Endogenous
66.95868,67.96596,M+H,0.96596,ClO2,HMDB02077,Endogenous
74.97788,75.98516,M+H,0.98516,CHNOS,HMDB12974,Endogenous
78.95851,79.96578,M+H,0.96578,O3P,HMDB01443,Endogenous
79.95681,80.96409,M+H,0.96409,O3S,HMDB00240,Endogenous
80.96464,81.97192,M+H,0.97192,HO3S,HMDB01033,Endogenous
81.93217,82.93945,M+H,0.93945,H2Se,HMDB11110,Endogenous
82.9536,83.96087,M+H,0.96087,ClO3,HMDB02036,Endogenous
83.95336,84.96063,M+H,0.96063,CH2Cl2,HMDB31548,Endogenous
91.98062,92.9879,M+H,0.9879,CH2NO2S,HMDB12916,Endogenous
93.94181,94.94909,M+H,0.94909,CH3Br,HMDB31524,Endogenous
93.98216,94.98943,M+H,0.98943,C2H3ClO2,HMDB31331,Endogenous
93.99109,94.99837,M+H,0.99837,C2H6S2,HMDB05879,Endogenous
93.99109,94.99837,M+H,0.99837,C2H6S2,HMDB31707,Endogenous
93.99109,94.99837,M+H,0.99837,C2H6S2,HMDB32253,Endogenous
93.99109,94.99837,M+H,0.99837,C2H6S2,HMDB32428,Endogenous
95.95173,96.95901,M+H,0.95901,O4S,HMDB01448,Endogenous
95.96125,96.96852,M+H,0.96852,HO4P,HMDB00973,Endogenous
95.98789,96.99516,M+H,0.99516,H4O4Si,HMDB31436,Endogenous
97.96901,98.97628,M+H,0.97628,C2H4Cl2,HMDB29571,Endogenous
97.9769,98.98417,M+H,0.98417,H3O4P,HMDB02142,Endogenous
102.12827,103.13555,M+H,0.13555,C6H16N,HMDB06509,Endogenous
111.92889,112.93616,M+H,0.93616,O3S2,HMDB00257,Endogenous
115.97544,116.98272,M+H,0.98272,C4H4S2,HMDB29720,Endogenous
117.91438,118.92166,M+H,0.92166,CHCl3,HMDB29596,Endogenous
117.99022,118.9975,M+H,0.9975,C3H2O5,HMDB31522,Endogenous
118.91771,119.92498,M+H,0.92498,MnO4,HMDB01417,Endogenous
119.93451,120.94179,M+H,0.94179,CCl2F2,HMDB29570,Endogenous
119.98811,120.99539,M+H,0.99539,C3H4O3S,HMDB01368,Endogenous
124.98695,125.99422,M+H,0.99422,C3H9Se,HMDB42052,Endogenous
125.96316,126.97044,M+H,0.97044,C2H6S3,HMDB13780,Endogenous
125.98092,126.9882,M+H,0.9882,C2H6O2S2,HMDB31832,Endogenous
127.90127,128.90854,M+H,0.90854,O3Se,HMDB11119,Endogenous
129.99109,130.99837,M+H,0.99837,C5H6S2,HMDB31853,Endogenous
135.97912,136.9864,M+H,0.9864,C4H8Se,HMDB30878,Endogenous
139.97544,140.98272,M+H,0.98272,C6H4S2,HMDB29716,Endogenous
139.97881,140.98609,M+H,0.98609,C3H8S3,HMDB31875,Endogenous
139.98746,140.99474,M+H,0.99474,C2H5O5P,HMDB01494,Endogenous
139.98746,140.99474,M+H,0.99474,C2H5O5P,HMDB04110,Endogenous
140.98271,141.98999,M+H,0.98999,CH4NO5P,HMDB01096,Endogenous
141.93554,142.94282,M+H,0.94282,C2H6SSe,HMDB30879,Endogenous
147.92495,148.93222,M+H,0.93222,C2H3Cl3O,HMDB41796,Endogenous
149.98092,150.9882,M+H,0.9882,C4H6O2S2,HMDB29611,Endogenous
150.97012,151.9774,M+H,0.9774,C3H3O5S,HMDB01405,Endogenous
151.87541,152.88269,M+H,0.88269,CCl4,HMDB31330,Endogenous
151.97794,152.98522,M+H,0.98522,C3H4O5S,HMDB02332,Endogenous
151.97881,152.98609,M+H,0.98609,C4H8S3,HMDB31470,Endogenous
152.99182,153.9991,M+H,0.9991,C3H7NO2S2,HMDB03585,Endogenous
153.96087,154.96815,M+H,0.96815,C2ClF5,HMDB31333,Endogenous
155.91958,156.92686,M+H,0.92686,C2H4S4,HMDB31185,Endogenous
155.98237,156.98965,M+H,0.98965,C2H5O6P,HMDB00816,Endogenous
157.94568,158.95296,M+H,0.95296,C4H5Cl3,HMDB32554,Endogenous
160.89068,161.89795,M+H,0.89795,H2O3PSe,HMDB06407,Endogenous
161.8985,162.90578,M+H,0.90578,H3O3PSe,HMDB03840,Endogenous
161.90421,162.91149,M+H,0.91149,C2HCl3O2,HMDB42048,Endogenous
162.97617,163.98345,M+H,0.98345,C4H5NO2S2,HMDB41805,Endogenous
163.90072,164.90799,M+H,0.90799,H2MoO4,HMDB12260,Endogenous
164.93843,165.94571,M+H,0.94571,C4HCl2NO2,HMDB31151,Endogenous
165.97584,166.98311,M+H,0.98311,C4H6O3S2,HMDB29612,Endogenous
166.98634,167.99362,M+H,0.99362,C7H5NS2,HMDB30524,Endogenous
